회사명,종목코드,시장,감사인,감사의견,비고
한화머시너리앤서비스홀딩스,0220W0,유가,,,최근 2년 사업보고서 없음
해치텍,0155E0,코스닥,선일회계법인,적정의견,
니어스랩,417030,코스닥,,,최근 2년 사업보고서 없음
기도산업,282620,코스닥,,,최근 2년 사업보고서 없음
인제니아테라퓨틱스,950260,코스닥,,,최근 2년 사업보고서 없음
케이앤에스아이앤씨,487400,코스닥,,,최근 2년 사업보고서 없음
딜리셔스,483350,코스닥,,,최근 2년 사업보고서 없음
네오뷰,0218L0,코스닥,,,최근 2년 사업보고서 없음
에이치엘지노믹스,0156T0,코스닥,,,최근 2년 사업보고서 없음
레메디,387690,코스닥,,,최근 2년 사업보고서 없음
레몬헬스케어,365660,코스닥,,,최근 2년 사업보고서 없음
매드업,0039P0,코스닥,,,최근 2년 사업보고서 없음
스트라드비젼,475040,코스닥,삼일회계법인,적정의견,
한국제16호스팩,0164H0,코스닥,,,최근 2년 사업보고서 없음
져스텍,153890,코스닥,,,최근 2년 사업보고서 없음
메리츠제2호스팩,0165X0,코스닥,,,최근 2년 사업보고서 없음
세미티에스,0017J0,코스닥,,,최근 2년 사업보고서 없음
피스피스스튜디오,0117P0,코스닥,삼정회계법인,적정의견,
대신밸런스제20호스팩,0134X0,코스닥,,,최근 2년 사업보고서 없음
마키나락스,477850,코스닥,,,최근 2년 사업보고서 없음
케이피항공산업,288180,코스닥,,,감사의견 절을 못 찾음
폴레드,487580,코스닥,삼덕회계법인,적정의견,
코스모로보틱스,439960,코스닥,,,최근 2년 사업보고서 없음
신한제18호스팩,0129K0,코스닥,,,최근 2년 사업보고서 없음
채비,0011T0,코스닥,,,최근 2년 사업보고서 없음
키움히어로제2호스팩,0131D0,코스닥,,,최근 2년 사업보고서 없음
보원케미칼,0010F0,코스닥,대주회계법인,적정의견,
교보20호스팩,0132G0,코스닥,동성회계법인,적정의견,
인벤테라,0007J0,코스닥,대주회계법인,적정의견,
신한제17호스팩,0130D0,코스닥,,,최근 2년 사업보고서 없음
리센스메디컬,394420,코스닥,삼정회계법인,적정의견,
엔에이치스팩33호,0130H0,코스닥,,,최근 2년 사업보고서 없음
메쥬,0088M0,코스닥,성현회계법인,적정의견,
한패스,408470,코스닥,안진회계법인,적정의견,
아이엠바이오로직스,493280,코스닥,,,감사의견 절을 못 찾음
카나프테라퓨틱스,0082N0,코스닥,한울회계법인,적정의견,
액스비스,0011A0,코스닥,인덕회계법인,적정의견,
에스팀,458350,코스닥,우리회계법인,적정의견,
케이뱅크,279570,유가,안진회계법인,적정의견,
덕양에너젠,0001A0,코스닥,다산회계법인,적정의견,
덕양에너젠,0001A0,코스닥,다산회계법인,적정의견,
삼성스팩13호,0115H0,코스닥,한미회계법인,적정의견,
엔비알모션,0004V0,코스닥,동성회계법인,적정의견,
지에프아이,493330,코스닥,대성회계법인,적정의견,
삼미금속,012210,코스닥,한미회계법인,적정의견,
세미파이브,490470,코스닥,한영회계법인,적정의견,
리브스메드,491000,코스닥,삼정회계법인,적정의견,
미래에셋비전스팩10호,0097F0,코스닥,네트워크회계법인,적정의견,
미래에셋비전스팩11호,0099W0,코스닥,동성회계법인,적정의견,
삼진식품,0013V0,코스닥,신한회계법인,적정의견,
하나36호스팩,0101C0,코스닥,삼도회계법인,,
IBKS제25호스팩,0099X0,코스닥,한울회계법인,적정의견,
알지노믹스,476830,코스닥,안진회계법인,적정의견,
나라스페이스테크놀로지,478340,코스닥,삼화회계법인,적정의견,
아크릴,0007C0,코스닥,정동회계법인,적정의견,
메리츠제1호스팩,0088D0,코스닥,한울회계법인,적정의견,
티엠씨,217590,유가,,,최근 2년 사업보고서 없음
교보19호스팩,0098T0,코스닥,삼도회계법인,적정의견,
쿼드메디슨,464490,코스닥,삼일회계법인,적정의견,
키움히어로제1호스팩,466690,코스닥,삼도회계법인,적정의견,
유진스팩12호,0105P0,코스닥,한울회계법인,적정의견,
이지스,261520,코스닥,신한회계법인,적정의견,
페스카로,0015S0,코스닥,대주회계법인,적정의견,
테라뷰,950250,코스닥,삼일회계법인,적정의견,
엔에이치스팩32호,0054V0,코스닥,서우회계법인,적정의견,
에임드바이오,0009K0,코스닥,신한회계법인,적정의견,
미래에셋비전스팩9호,0096D0,코스닥,이촌회계법인,적정의견,
삼성스팩12호,0096B0,코스닥,리안회계법인,적정의견,
미래에셋비전스팩8호,0093G0,코스닥,삼덕회계법인,적정의견,
아로마티카,0015N0,코스닥,대주회계법인,적정의견,
삼성에피스홀딩스,0126Z0,유가,삼정회계법인,적정의견,
삼양바이오팜,0120G0,유가,,,최근 2년 사업보고서 없음
신영스팩11호,0091W0,코스닥,성현회계법인,적정의견,
